===== Final evaluation scores =====
Model: AgentVerse:Qwen3-1.7B+4B+8B+Meta8B
Evaluation: agentverse-training-free
Overall test problems: 1352
Overall correct: 801
Overall weighted pass@1: 0.592456
Overall macro-language pass@1: 0.598310

root_dataset	language	test_count	correct_count	pass@1
humaneval	cpp	49	33	0.673469
humaneval	cs	49	28	0.571429
humaneval	java	49	29	0.591837
humaneval	js	49	35	0.714286
humaneval	php	49	31	0.632653
humaneval	py	49	33	0.673469
humaneval	sh	49	12	0.244898
humaneval	ts	49	39	0.795918
mbpp	cpp	120	80	0.666667
mbpp	cs	120	74	0.616667
mbpp	java	120	73	0.608333
mbpp	js	120	75	0.625000
mbpp	php	120	72	0.600000
mbpp	py	120	78	0.650000
mbpp	sh	120	26	0.216667
mbpp	ts	120	83	0.691667
