===== Final evaluation scores =====
Model: multipl_e_a1_8b_gpt5_paired_rwr_20260830_checkpoint-25:A1+A2+A3
Evaluation: multi-agent-zero-shot
Overall test problems: 1352
Overall correct: 803
Overall weighted pass@1: 0.593935
Overall macro-language pass@1: 0.596333

root_dataset	language	test_count	correct_count	pass@1
humaneval	cpp	49	32	0.653061
humaneval	cs	49	29	0.591837
humaneval	java	49	28	0.571429
humaneval	js	49	33	0.673469
humaneval	php	49	30	0.612245
humaneval	py	49	37	0.755102
humaneval	sh	49	11	0.224490
humaneval	ts	49	36	0.734694
mbpp	cpp	120	76	0.633333
mbpp	cs	120	75	0.625000
mbpp	java	120	77	0.641667
mbpp	js	120	77	0.641667
mbpp	php	120	73	0.608333
mbpp	py	120	81	0.675000
mbpp	sh	120	27	0.225000
mbpp	ts	120	81	0.675000
