===== Final evaluation scores =====
Model: multipl_e_3x4b_full_v1:A1+A2+A3
Evaluation: multi-agent-zero-shot
Overall test problems: 1352
Overall correct: 721
Overall weighted pass@1: 0.533284
Overall macro-language pass@1: 0.526456

root_dataset	language	test_count	correct_count	pass@1
humaneval	cpp	49	27	0.551020
humaneval	cs	49	24	0.489796
humaneval	java	49	25	0.510204
humaneval	js	49	26	0.530612
humaneval	php	49	25	0.510204
humaneval	py	49	30	0.612245
humaneval	sh	49	14	0.285714
humaneval	ts	49	29	0.591837
mbpp	cpp	120	69	0.575000
mbpp	cs	120	69	0.575000
mbpp	java	120	65	0.541667
mbpp	js	120	71	0.591667
mbpp	php	120	68	0.566667
mbpp	py	120	77	0.641667
mbpp	sh	120	29	0.241667
mbpp	ts	120	73	0.608333
