===== Final evaluation scores =====
Model: Qwen3-8B+Qwen3-8B+Qwen3-8B
Evaluation: multi-agent-zero-shot
Overall test problems: 1352
Overall correct: 762
Overall weighted pass@1: 0.563609
Overall macro-language pass@1: 0.571960

root_dataset	language	test_count	correct_count	pass@1
humaneval	cpp	49	30	0.612245
humaneval	cs	49	26	0.530612
humaneval	java	49	29	0.591837
humaneval	js	49	36	0.734694
humaneval	php	49	26	0.530612
humaneval	py	49	37	0.755102
humaneval	sh	49	11	0.224490
humaneval	ts	49	37	0.755102
mbpp	cpp	120	74	0.616667
mbpp	cs	120	79	0.658333
mbpp	java	120	70	0.583333
mbpp	js	120	71	0.591667
mbpp	php	120	58	0.483333
mbpp	py	120	78	0.650000
mbpp	sh	120	27	0.225000
mbpp	ts	120	73	0.608333
