===== Final evaluation scores =====
Model: Qwen3-14B
Evaluation: single-agent
Overall test problems: 1352
Overall correct: 746
Overall weighted pass@1: 0.551775
Overall macro-language pass@1: 0.573437

root_dataset	language	test_count	correct_count	pass@1
humaneval	cpp	49	35	0.714286
humaneval	cs	49	33	0.673469
humaneval	java	49	32	0.653061
humaneval	js	49	42	0.857143
humaneval	php	49	34	0.693878
humaneval	py	49	16	0.326531
humaneval	sh	49	16	0.326531
humaneval	ts	49	37	0.755102
mbpp	cpp	120	73	0.608333
mbpp	cs	120	76	0.633333
mbpp	java	120	74	0.616667
mbpp	js	120	74	0.616667
mbpp	php	120	65	0.541667
mbpp	py	120	36	0.300000
mbpp	sh	120	23	0.191667
mbpp	ts	120	80	0.666667
