===== Final evaluation scores =====
Model: Qwen3-1.7B+Qwen3-4B+Qwen3-8B
Evaluation: multi-agent-zero-shot
Overall test problems: 1352
Overall correct: 569
Overall weighted pass@1: 0.420858
Overall macro-language pass@1: 0.401254

root_dataset	language	test_count	correct_count	pass@1
humaneval	cpp	49	21	0.428571
humaneval	cs	49	20	0.408163
humaneval	java	49	18	0.367347
humaneval	js	49	19	0.387755
humaneval	php	49	14	0.285714
humaneval	py	49	22	0.448980
humaneval	sh	49	3	0.061224
humaneval	ts	49	22	0.448980
mbpp	cpp	120	66	0.550000
mbpp	cs	120	57	0.475000
mbpp	java	120	53	0.441667
mbpp	js	120	69	0.575000
mbpp	php	120	56	0.466667
mbpp	py	120	59	0.491667
mbpp	sh	120	8	0.066667
mbpp	ts	120	62	0.516667
